62,83,3,81,1,73,50,80,73,9,29,63,76,65,61,4,96,24,37,96
31,19,14,24,36,9,27,79,49,86,63,47,39,49,48,90,93,54,85,78
29,92,81,45,76,11,87,44,24,13,87,45,60,76,75,52,39,52,74,16
52,71,28,49,40,47,63,61,51,22,95,33,38,19,91,70,10,62,89,21
67,85,68,90,52,91,56,26,43,87,46,30,33,19,75,19,80,64,87,48
89,67,42,87,86,5,81,54,84,86,69,90,43,4,18,17,88,96,97,83
53,81,49,55,41,23,29,3,35,1,2,88,74,35,88,39,94,66,35,7
57,67,72,15,19,70,23,32,79,51,75,87,12,49,81,79,15,34,57,4
23,9,8,75,56,42,71,50,71,60,84,80,78,82,78,32,25,94,70,72
65,36,67,1,76,42,99,23,95,61,82,79,94,27,45,20,4,93,37,6
14,75,83,25,92,41,75,88,54,38,42,53,74,38,65,75,86,2,38,34
47,46,86,83,82,92,15,93,18,23,54,33,92,50,22,61,82,94,10,36
36,36,74,14,66,10,58,40,26,45,21,54,40,35,65,94,59,30,18,6
20,23,32,34,82,53,97,82,97,71,71,58,36,61,65,29,54,42,14,45
63,59,20,62,76,16,37,5,67,46,64,56,47,75,18,9,20,43,51,63
20,17,42,37,33,68,86,14,54,26,92,60,76,71,33,83,79,5,54,51
1,68,3,64,78,74,70,98,36,6,88,82,96,44,65,46,84,11,13,82
84,33,59,78,87,85,10,39,68,44,3,50,64,57,68,26,54,66,23,7
97,45,49,1,65,45,9,96,46,1,7,40,33,5,13,19,96,98,90,91
15,82,89,28,58,46,3,12,15,5,21,65,23,94,81,73,70,60,99,74
