72,77,98,43,48,87,52,65,7,43,8,81,85,27,98,47,25,23,46,37
37,16,10,20,85,45,86,31,11,12,78,4,26,20,43,43,65,36,30,23
73,56,31,73,72,10,38,56,40,54,2,58,5,98,38,32,61,36,42,38
99,6,86,35,19,98,67,18,38,94,75,92,78,13,22,35,62,97,17,20
88,76,21,10,7,19,29,64,73,87,53,38,2,5,97,75,22,43,36,98
65,98,42,57,53,75,81,5,78,34,53,20,37,28,75,17,34,96,61,93
96,7,14,33,48,36,52,27,79,97,5,77,28,79,34,95,31,84,99,32
21,75,53,3,90,93,25,17,77,77,82,32,18,35,36,49,37,93,46,78
94,17,62,71,82,80,91,25,70,83,66,59,47,5,96,23,71,66,56,8
49,63,5,26,57,6,56,54,66,60,99,57,42,11,87,46,44,85,29,59
54,9,34,91,51,8,16,31,34,96,92,63,33,8,31,15,95,61,47,93
53,55,91,5,36,3,56,90,58,87,53,36,69,56,42,4,19,90,71,70
63,89,42,34,1,28,23,6,11,44,46,99,70,94,92,6,1,33,47,67
41,25,41,58,94,34,25,30,44,47,66,13,92,89,50,32,18,6,87,46
26,99,61,80,89,36,78,46,40,79,24,48,50,36,45,62,28,4,94,97
47,23,26,18,45,31,1,9,50,44,7,14,93,39,40,77,44,39,96,27
24,94,24,60,80,5,43,3,54,39,50,38,13,92,29,79,13,76,83,58
48,22,1,45,71,70,12,89,35,71,1,19,19,3,55,18,57,2,23,44
72,56,66,94,47,35,39,92,32,31,1,56,25,76,66,51,75,51,43,77
2,56,45,72,63,48,53,14,58,61,80,10,33,8,26,36,95,22,68,54
