2,77,73,50,67,57,93,67,62,1,61,5,75,7,33,16,65,79,15,10
61,78,13,3,53,2,79,60,12,62,28,49,84,41,92,69,48,1,93,87
16,19,56,21,6,85,20,83,74,48,78,6,96,68,78,7,46,89,5,41
83,60,16,55,98,54,64,66,55,66,95,31,31,95,18,55,2,52,49,10
15,59,19,78,72,68,94,5,40,14,16,51,63,81,7,33,77,80,26,75
67,26,85,42,7,31,6,34,83,61,36,72,34,94,25,6,40,44,89,44
7,29,91,7,99,35,81,45,83,36,40,41,57,57,84,72,83,67,12,54
28,33,10,10,44,8,31,46,20,45,64,20,61,2,60,4,55,44,24,37
9,19,62,78,60,70,93,69,3,46,76,28,20,68,24,77,31,77,77,40
44,74,56,85,85,50,46,6,83,25,28,44,71,38,10,4,19,4,10,15
87,62,97,81,45,61,2,91,58,1,63,70,95,39,36,18,50,77,52,94
92,35,81,86,36,61,57,88,29,46,78,12,89,96,80,92,45,48,12,81
28,10,82,49,52,55,72,58,14,67,82,60,50,98,52,12,33,30,15,62
44,85,22,53,6,94,44,13,74,30,2,71,53,97,12,34,75,25,19,33
30,52,47,89,69,96,95,55,23,90,64,46,21,91,25,44,45,67,8,15
80,32,92,16,66,34,83,99,82,93,50,31,46,2,85,83,94,60,56,92
74,16,98,42,51,94,5,22,24,31,35,77,45,91,41,48,15,12,18,42
2,5,27,8,55,46,65,32,70,23,4,59,27,36,43,44,33,87,8,80
36,18,53,48,82,69,56,60,85,38,82,26,27,79,67,61,44,76,16,2
92,16,16,70,66,52,71,94,36,76,87,20,74,97,54,8,85,31,33,87
