11,65,61,46,21,61,46,38,51,79,8,52,19,78,86,1,19,57,46,97,11,6,7,15,81,72,41,95,2,87,94,29,68,10,25,32,95,66,48,72,93,77,37,25,10,46,83,20,66,42,60,72,31,67,50,31,73,18,50,96,49,11,96,64,74,94,29,10,96,24,28,53,93,54,97,68,27,95,33,32,47,20,10,48,76,46,3,86,36,42
97,94,56,71,25,59,53,35,81,13,47,49,48,38,80,19,7,22,68,4,48,60,1,77,4,99,48,6,95,35,54,43,49,82,89,39,65,56,41,1,70,18,16,46,43,6,4,62,43,95,39,90,50,93,41,60,54,4,48,31,20,82,34,91,63,42,44,72,83,75,4,91,24,30,35,77,71,23,47,20,15,13,60,55,91,5,32,49,7,64
68,83,74,77,42,43,5,71,83,96,28,71,40,53,27,47,18,49,26,94,86,36,94,50,2,34,84,95,45,7,65,29,1,58,45,17,61,5,24,62,64,33,11,74,84,69,33,81,67,98,19,70,2,8,40,60,95,22,77,18,90,49,96,60,47,6,37,29,40,58,88,56,21,1,60,23,92,90,92,74,62,27,65,21,61,96,89,48,56,23
33,19,19,45,18,8,28,9,39,84,59,77,14,33,78,21,33,94,22,52,39,91,75,7,32,95,93,37,29,14,50,15,42,35,12,25,14,30,79,38,11,28,59,92,95,76,75,75,3,71,35,36,96,36,94,14,49,88,34,51,30,58,65,67,27,13,3,74,95,59,99,44,42,41,72,3,32,11,74,16,95,43,64,12,74,23,35,19,70,5
62,5,30,38,56,54,6,84,58,13,48,71,80,75,93,66,85,81,88,70,37,48,4,82,85,20,46,46,61,69,65,71,55,28,55,72,33,68,13,27,15,44,4,33,63,78,20,35,96,95,56,37,70,52,57,36,29,13,9,92,51,75,79,55,10,51,80,73,95,93,34,80,45,34,2,19,37,33,45,37,70,86,94,24,24,59,37,25,19,32
56,42,32,42,75,63,68,20,7,48,56,24,11,44,35,20,74,16,85,12,57,70,72,59,93,50,38,21,49,3,39,76,62,79,84,42,75,50,42,6,24,60,51,20,81,25,54,63,32,5,16,99,70,15,38,53,58,88,66,7,24,11,72,44,22,34,59,4,83,72,30,40,53,78,44,30,81,68,8,40,77,76,86,25,60,74,34,64,78,41
72,94,72,63,21,51,81,80,15,29,86,79,95,2,34,13,99,93,46,57,80,41,96,3,90,45,29,28,2,77,17,94,64,59,12,25,78,29,73,3,75,2,12,70,96,8,31,41,93,44,9,26,62,19,82,55,97,55,75,40,86,91,4,85,35,17,74,58,5,64,53,7,7,28,85,17,93,92,86,21,72,67,52,73,33,68,19,76,96,68
73,4,93,47,54,68,65,42,47,98,76,77,64,30,4,2,73,95,95,93,98,81,72,60,79,57,57,93,25,71,94,90,45,69,96,69,61,67,1,69,48,69,60,36,54,87,79,95,81,72,16,69,92,34,92,57,44,39,86,47,59,94,79,10,9,26,22,38,78,26,41,94,53,31,73,85,76,52,51,68,77,86,66,11,29,53,37,26,72,93
38,25,28,12,40,79,8,88,97,94,5,83,33,6,89,64,80,2,21,42,60,8,84,44,80,4,46,88,87,55,3,90,36,50,16,68,19,94,66,2,35,38,14,91,22,93,62,46,86,18,26,96,49,10,64,22,14,28,98,85,66,13,51,46,95,52,67,70,86,68,76,44,23,51,95,15,89,69,10,82,32,57,23,46,93,40,24,89,36,13
6,89,93,25,46,64,11,7,22,38,41,45,11,76,27,66,90,77,30,48,43,65,71,55,89,57,70,15,84,20,72,28,44,5,29,81,48,62,39,58,90,70,38,96,51,92,45,80,63,22,39,28,37,3,6,57,41,92,19,57,63,30,68,14,35,75,49,96,39,99,82,85,99,24,16,41,57,37,50,81,58,64,15,11,22,16,23,57,11,89
17,46,18,12,57,52,45,70,51,53,76,33,27,86,48,39,57,25,97,61,14,24,22,70,91,73,29,3,15,2,69,13,90,91,78,35,19,84,55,87,18,37,10,81,76,83,16,39,75,94,65,34,42,99,2,1,18,46,91,93,88,31,13,92,16,43,19,5,86,89,53,12,15,30,67,53,43,24,14,63,90,43,89,43,52,24,66,92,38,75
46,6,10,55,92,90,99,68,21,81,38,15,53,65,68,57,67,62,42,29,20,1,24,61,31,76,39,87,95,3,11,63,80,18,66,81,18,67,58,7,59,79,22,2,10,71,77,16,78,42,82,27,22,99,96,42,6,43,41,96,81,71,37,18,50,25,85,1,26,57,11,99,95,26,81,30,88,85,86,31,59,8,35,54,81,86,24,15,55,31
