82,48,62,78,42,26,7,3,4,21,94,27,91,19,75,50,70,6,36,43,71,85,11,42,1,44,57,64,29,7,68,59,75,84,92,79,25,98,59,1,4,48,6,46,9,59,56,60,35,55,19,36,44,73,62,36,67,48,25,1
63,87,52,20,93,18,44,8,50,87,84,41,66,36,29,82,5,14,36,27,10,25,95,46,81,38,58,87,22,34,98,91,24,67,34,30,73,18,11,99,89,6,68,63,90,47,79,3,38,62,62,18,27,54,88,83,56,1,11,63
97,63,24,81,34,48,79,44,27,89,64,96,31,15,20,18,79,75,12,79,58,58,72,90,23,28,59,2,43,29,60,20,3,97,5,90,5,31,73,20,42,42,70,5,23,48,86,89,10,20,54,71,53,67,50,87,55,9,50,51
88,43,5,69,33,62,46,62,18,39,2,51,99,70,45,75,36,15,99,82,99,55,82,71,30,26,2,11,81,33,30,27,1,45,10,22,4,27,86,6,59,9,25,78,15,20,9,54,31,45,65,72,14,86,71,8,71,37,89,68
25,15,24,17,5,67,18,92,21,23,37,39,30,11,28,50,85,93,87,39,15,23,73,30,46,54,57,69,78,37,40,98,63,53,49,20,2,8,49,92,57,21,21,97,82,74,82,4,32,98,92,90,77,40,57,99,21,41,81,83
74,68,48,30,64,87,5,75,93,73,63,65,50,93,41,24,72,8,65,38,60,35,48,25,69,16,74,80,87,61,40,4,27,73,66,94,66,11,46,42,77,81,51,19,22,72,66,1,53,49,75,64,79,88,87,79,20,65,15,85
92,25,95,93,97,20,93,11,31,25,79,78,82,1,61,86,53,9,85,79,21,20,24,63,99,75,48,77,51,70,70,55,91,19,84,1,40,18,65,89,17,8,68,22,76,18,49,26,91,81,37,63,19,2,83,6,68,43,45,16
57,85,33,24,78,58,99,75,91,78,85,58,19,9,26,8,26,80,79,8,23,23,46,82,96,49,6,95,26,31,62,59,47,67,58,11,26,77,15,69,85,48,58,23,18,40,60,74,11,25,44,53,46,77,70,10,14,2,92,78
64,22,82,64,94,28,2,41,25,62,20,82,63,32,43,48,23,50,39,49,94,6,8,47,74,12,33,81,27,91,11,64,97,9,59,18,95,21,48,35,91,8,96,58,79,65,33,30,88,1,2,9,58,91,54,83,9,60,95,26
45,12,74,81,54,28,60,35,89,60,71,13,93,60,9,91,79,79,71,63,65,5,93,71,37,9,71,16,32,27,91,37,23,45,73,53,65,94,60,39,97,99,64,75,11,56,42,45,85,69,5,9,11,74,35,69,11,19,80,94
89,53,79,51,67,61,48,29,28,93,17,86,33,2,67,90,69,28,60,39,6,37,73,38,71,58,91,20,47,11,19,81,29,27,48,43,92,97,47,67,65,71,1,14,44,4,46,79,93,63,44,46,19,95,52,97,63,2,11,34
5,41,89,14,40,38,40,78,58,10,73,24,21,81,79,37,81,35,86,69,57,41,96,38,74,34,79,68,21,85,64,6,7,75,59,93,88,47,73,88,77,92,58,61,67,7,35,54,49,61,41,52,65,1,98,10,54,99,41,55
77,15,35,3,95,91,3,66,78,72,85,70,80,87,55,31,9,40,13,35,97,85,86,94,3,2,42,40,77,40,32,94,14,47,83,15,79,63,14,88,97,44,18,86,30,83,37,65,46,76,19,97,25,2,27,41,46,52,78,19
