20,18,17,1,63,72,17,89,2,19,99,18,34,12,51,93,34,57,36,37,46,47,2,8,13,45,10,9,60,98,94,5,10,28,45,73,92,55,92,78,56,29,2,59,48,17,36,83,70,6,30,36,13,11,11,54,4,41,58,20,66,12,18,19,5,23,15,92,77,28,42,42,61,59,46,72,45,17,69,65
19,33,73,37,12,33,88,20,84,60,85,78,79,1,92,55,59,88,56,28,63,72,31,96,45,23,94,76,44,18,83,66,46,84,10,57,82,71,59,32,9,78,19,45,7,91,5,59,41,82,69,70,86,84,91,72,85,71,71,94,75,25,11,43,65,27,43,24,29,94,26,68,9,64,96,20,42,73,89,90
12,64,9,31,77,74,37,37,82,4,64,23,3,38,76,9,43,6,24,68,82,21,54,18,66,81,21,79,54,87,44,35,95,79,79,25,91,30,54,13,60,53,10,81,31,86,4,57,23,90,6,51,36,64,31,84,52,74,52,17,63,13,58,1,53,67,53,22,41,35,97,47,61,53,16,23,14,27,61,32
24,20,14,77,90,43,80,87,1,83,37,80,4,76,5,10,59,54,34,50,52,66,78,24,94,71,89,46,19,83,13,6,99,84,87,48,80,56,11,42,83,91,77,93,90,55,81,93,35,95,22,81,40,25,38,63,5,89,80,66,4,45,29,54,5,16,30,55,18,41,73,25,37,32,85,61,78,8,37,9
7,71,23,44,61,10,18,51,17,69,73,1,30,47,75,17,68,19,16,59,56,53,46,92,63,67,13,99,14,11,32,21,15,1,29,6,78,90,55,44,68,13,78,81,47,67,94,4,4,38,70,37,88,56,61,98,26,34,55,25,12,15,9,36,52,89,77,57,82,15,14,46,58,79,61,26,10,84,45,16
83,1,32,43,20,13,70,23,69,77,30,72,33,84,6,35,40,2,15,35,32,7,66,26,27,75,89,50,48,43,56,95,62,14,27,91,13,95,53,52,3,66,14,51,28,88,42,93,3,44,97,74,93,46,48,37,74,48,82,21,24,7,16,67,47,23,60,42,98,89,63,72,72,38,18,87,11,56,19,68
46,76,39,33,32,31,44,45,39,14,33,42,33,52,40,23,73,20,18,90,86,6,39,71,84,67,74,54,58,81,93,57,30,76,54,32,15,21,54,56,5,19,37,21,31,80,5,52,44,92,96,82,83,56,54,10,17,67,10,22,1,77,83,27,16,78,2,40,98,54,3,91,9,46,71,86,41,31,30,71
68,31,80,58,78,67,74,60,85,16,88,60,32,41,44,93,65,14,23,51,19,46,45,31,48,87,13,4,61,41,68,44,24,92,75,4,81,56,97,25,76,93,24,14,77,89,59,57,85,11,62,56,96,48,91,52,48,61,89,33,26,33,24,46,84,91,86,15,12,74,16,82,15,91,86,97,80,3,30,56
1,20,78,82,63,35,75,17,99,85,33,73,91,7,71,68,52,5,48,67,40,51,30,22,6,23,2,27,77,54,88,50,93,90,16,72,1,73,43,24,12,6,76,56,41,49,77,12,33,23,68,42,12,71,75,27,35,54,78,16,64,1,80,89,43,95,73,51,19,31,80,65,96,5,43,10,71,19,1,3
77,37,3,86,61,33,5,47,47,55,17,67,51,98,87,66,27,25,18,55,18,13,17,23,32,65,30,39,20,26,69,56,72,40,55,83,63,48,91,10,93,77,95,2,83,94,25,76,60,86,60,23,49,91,73,75,6,96,27,45,27,27,19,48,12,88,56,96,54,69,46,88,81,77,49,70,58,63,50,50
