61,82,27,27,94,87,52,54,85,37,84,89,7,77,49,4,78,96,89,51,80,98,76,9,25,72,3,18,67,45,8,72,90,15,4,70,53,40,68,52,22,1,76,31,54,10,86,69,10,13,82,7,85,20,92,30,92,33,34,57
75,93,39,65,95,20,51,61,20,58,94,8,48,73,18,40,60,32,23,89,74,6,56,74,71,32,88,28,62,90,40,4,56,87,96,46,32,13,57,15,72,38,51,79,5,80,58,54,95,11,34,77,29,44,16,45,35,83,77,29
58,98,5,77,32,18,49,69,52,14,97,26,5,84,38,77,31,5,33,44,53,25,39,13,80,55,11,22,12,64,89,41,82,83,69,71,89,85,20,7,4,82,35,4,89,49,80,90,49,77,86,97,74,51,3,81,72,68,69,44
86,39,83,22,93,51,83,13,63,88,64,79,14,35,56,39,98,48,22,86,32,43,59,59,17,29,41,42,16,23,95,22,32,36,43,16,25,3,94,80,42,73,50,27,18,8,41,24,16,43,49,14,72,69,69,87,51,85,65,84
20,6,47,14,91,73,30,97,6,56,38,57,73,36,34,58,42,93,74,95,11,90,14,18,15,22,28,35,71,1,31,49,13,82,57,83,1,6,85,44,45,23,90,94,41,93,35,44,50,22,24,95,71,95,76,90,21,30,62,82
70,20,8,52,16,39,76,27,82,97,92,37,94,34,29,76,79,36,47,10,64,96,93,36,59,22,86,94,22,26,79,34,79,62,79,5,87,81,63,57,32,75,74,77,17,93,75,54,80,11,84,29,96,85,71,93,62,3,53,62
36,99,29,42,34,80,51,39,17,21,31,60,66,77,20,1,26,9,33,35,64,88,90,49,47,67,14,94,89,29,62,35,71,34,78,87,30,30,78,38,37,93,47,46,18,19,61,11,61,52,2,39,54,34,67,58,91,12,44,17
88,99,88,7,44,74,84,87,87,79,18,86,48,10,7,56,44,61,99,82,9,65,51,57,81,69,92,42,56,79,11,84,9,47,69,10,45,43,14,34,41,38,13,81,69,60,38,35,16,15,15,19,77,84,41,14,92,45,99,68
34,34,18,33,11,30,54,23,88,8,43,26,62,86,4,80,30,67,44,37,14,39,57,29,8,86,87,65,39,30,29,49,25,91,77,86,40,38,53,19,33,98,98,64,9,93,92,40,12,67,97,40,48,88,64,38,28,92,66,28
38,81,3,47,90,64,1,93,9,80,28,77,72,11,9,38,44,38,90,78,29,34,24,1,2,3,88,75,20,4,5,14,86,89,40,59,88,80,66,19,5,58,52,73,13,74,91,99,40,74,24,26,21,38,22,82,64,49,23,73
16,6,74,69,23,89,30,59,9,26,90,99,98,31,66,64,3,45,45,41,21,50,98,93,30,77,88,19,40,20,70,61,33,6,94,89,3,72,42,7,35,3,7,57,53,36,4,98,2,51,11,35,16,76,85,91,4,30,14,99
56,5,71,23,53,9,13,67,54,79,98,94,59,32,51,13,67,83,75,53,9,17,66,82,51,97,54,18,12,42,74,97,25,17,98,2,27,8,58,33,22,39,70,13,80,79,39,58,60,51,80,19,75,20,92,15,12,62,26,24
25,78,50,2,4,28,3,54,50,5,45,68,5,81,21,75,42,52,54,98,5,70,31,42,8,2,97,43,98,93,36,52,79,72,67,57,43,78,24,63,1,13,51,18,58,13,40,9,92,86,44,49,37,78,32,61,57,72,71,13
27,83,98,58,69,52,23,17,53,63,18,28,71,64,12,75,44,37,82,45,65,24,18,65,21,55,24,51,30,88,91,26,11,16,24,57,43,74,68,92,75,22,50,27,11,64,66,88,10,90,28,82,16,27,68,19,94,57,38,42
