24,68,19,20,10,18,31,86,31,43,64,70,21,29,65,2,35,68,24,39,54,38,60,76,83,21,30,57,55,70,72,20,33,37,27,50,44,62,82,90,83,41,49,29,14,37,35,23,85,49,48,55,2,58,58,4,34,61,62,61,13,19,95,66,37,56,73,58,6,31,1,20,59,48,53,38,5,56,79,15,95,10,6,27,47,43,28,19,94,84,68,73,70,10,20,39,97,40,95,68
42,96,46,80,74,31,81,44,78,24,66,42,23,57,36,86,94,78,96,93,77,81,96,90,40,56,76,32,79,70,40,52,22,45,58,15,90,76,88,51,90,88,5,87,76,41,47,9,32,67,71,29,81,99,28,7,62,25,61,67,80,44,61,75,3,78,37,86,19,89,1,39,30,67,58,48,82,96,47,69,76,55,13,57,41,40,51,54,32,60,40,62,77,63,44,12,81,87,69,65
42,14,96,48,91,15,89,3,55,10,56,76,7,43,52,2,87,44,61,83,52,6,71,18,76,36,1,67,29,63,36,23,74,71,56,30,28,52,71,17,40,13,86,50,10,40,94,98,93,31,74,39,57,97,56,98,67,7,38,10,29,99,90,46,7,98,68,89,78,23,14,74,97,52,98,27,82,70,69,78,23,42,31,73,41,93,66,21,3,98,70,81,95,59,1,50,6,35,71,66
67,5,65,53,15,38,87,1,25,28,28,59,71,17,68,87,18,79,2,2,51,43,12,9,98,27,74,95,65,43,74,74,35,62,30,25,19,21,62,70,76,55,76,21,59,34,4,27,45,22,17,28,82,88,91,69,18,83,66,12,35,7,94,67,3,24,61,20,68,59,64,55,68,76,78,41,96,77,92,99,4,15,71,30,82,71,78,73,37,17,56,12,15,45,18,63,85,53,57,66
41,53,23,88,7,44,46,76,27,17,79,30,3,31,59,75,35,76,79,41,15,14,86,83,2,5,79,46,13,31,75,19,57,79,79,35,73,67,80,93,56,61,72,24,72,72,54,20,86,1,7,32,61,86,78,30,70,95,55,73,74,30,96,45,89,12,87,1,67,81,30,81,39,7,90,71,78,51,51,77,58,8,97,20,59,57,24,81,22,43,65,40,82,67,96,27,75,34,26,84
54,63,1,76,42,54,82,36,86,64,22,28,50,76,76,10,9,33,78,13,37,72,77,13,83,64,19,57,21,84,46,11,11,14,15,55,51,70,38,79,51,92,2,33,90,21,88,12,95,96,10,93,73,98,54,66,17,38,85,80,63,39,61,98,88,10,94,5,72,22,47,53,7,83,54,16,52,83,26,65,21,96,36,89,97,72,73,39,91,49,32,58,36,68,40,72,8,43,76,21
49,72,49,72,18,31,45,4,11,29,3,35,15,81,52,92,42,43,38,24,37,22,17,13,65,17,72,61,79,76,62,4,71,60,54,44,93,23,8,65,71,20,94,36,52,44,22,2,49,84,68,86,68,58,5,51,65,36,51,18,67,81,35,72,93,17,67,97,14,13,56,6,48,50,87,75,80,20,5,8,78,74,27,90,56,57,25,61,51,53,56,30,33,57,20,30,3,67,35,49
95,96,84,11,85,25,59,88,57,51,56,30,30,65,93,35,48,18,55,88,29,83,86,78,71,16,23,15,5,29,56,32,12,23,61,58,41,2,86,72,22,56,39,71,1,25,68,19,41,97,49,13,57,1,54,82,74,36,6,46,72,76,23,89,70,5,76,77,93,69,44,42,11,87,71,85,21,22,84,61,48,96,17,17,43,37,44,57,61,54,99,82,74,74,4,26,49,84,25,2
99,61,84,80,67,45,39,55,46,24,98,70,89,84,55,13,43,88,68,89,56,34,63,77,8,44,29,35,37,51,93,66,91,54,25,24,85,93,15,13,8,70,98,47,2,90,29,8,71,81,83,19,98,51,62,28,18,89,82,33,76,66,29,82,55,24,54,77,65,51,52,60,87,23,53,49,41,54,9,95,42,18,30,45,72,97,26,83,59,8,70,90,63,94,62,6,25,75,2,75
26,77,63,8,28,27,32,61,70,79,51,61,46,58,68,31,34,50,92,23,60,63,33,65,55,94,31,27,25,59,38,82,97,91,81,96,43,5,45,27,6,54,5,20,81,20,99,82,87,92,41,37,14,17,93,60,52,58,76,60,98,43,80,14,89,91,69,43,68,30,31,51,59,91,8,23,96,76,65,97,70,22,66,54,93,79,56,15,59,34,58,5,53,5,25,53,66,61,75,9
56,82,76,25,7,84,62,22,40,51,45,76,8,92,18,10,9,99,1,7,78,45,95,83,58,13,6,45,65,32,58,57,1,95,51,58,79,15,24,25,87,43,61,13,36,8,6,74,72,72,25,75,1,31,32,63,90,4,47,86,15,12,22,80,63,95,5,38,4,35,14,62,5,68,50,65,80,68,40,57,80,39,70,3,1,97,65,89,33,18,78,80,51,95,35,77,40,90,11,63
44,37,99,7,25,68,11,77,36,47,97,80,40,96,37,39,98,13,67,68,91,46,34,19,92,37,41,34,84,73,44,90,33,73,99,16,93,28,94,13,79,61,78,35,71,22,24,33,96,3,99,83,85,78,16,38,25,91,59,81,94,72,46,17,2,52,3,71,28,18,61,53,52,24,27,60,58,47,22,94,33,92,96,36,54,46,81,56,97,65,80,74,77,19,96,66,15,70,25,4
55,34,14,9,6,45,42,62,18,59,67,75,52,47,66,62,51,30,2,81,51,27,74,27,30,95,35,26,47,90,12,7,89,92,41,55,26,38,38,38,72,14,92,62,59,26,20,90,93,22,59,23,3,68,2,74,85,90,42,66,78,64,28,1,75,75,40,41,20,84,17,86,90,63,22,68,95,88,13,81,44,79,20,38,40,70,22,57,48,6,80,17,27,93,3,47,1,92,66,16
89,4,11,73,75,35,66,62,62,32,74,52,40,71,8,83,22,61,54,51,10,7,1,37,5,40,83,2,51,9,34,73,56,61,21,60,53,22,42,71,16,85,18,40,46,23,67,57,47,89,57,89,99,22,71,58,84,27,54,21,99,21,93,34,78,67,17,82,42,38,51,18,27,8,33,47,2,19,56,30,10,70,96,36,73,90,55,9,19,87,56,28,64,67,26,5,22,61,74,96
40,62,41,93,45,27,79,72,94,55,25,5,31,86,21,63,48,90,71,11,66,79,30,75,75,26,62,86,49,69,30,81,4,36,10,3,90,13,32,38,89,59,56,70,37,74,4,93,77,81,42,68,43,86,77,73,23,32,23,72,95,94,8,50,79,20,16,41,16,17,91,50,30,43,23,44,76,62,39,28,59,38,88,89,73,83,4,17,66,41,89,65,62,47,46,69,14,88,45,12
10,83,98,89,42,89,62,87,21,96,15,7,7,6,31,75,75,75,41,21,18,48,21,42,67,58,58,88,90,52,25,97,14,72,22,52,69,18,50,65,42,55,88,27,25,1,93,13,70,91,49,48,11,60,71,21,10,47,12,6,80,20,13,9,34,74,67,30,85,46,5,30,55,32,34,86,78,36,85,7,70,85,55,29,30,64,63,30,36,45,65,10,31,1,42,65,59,64,21,56
88,24,51,10,2,9,55,35,18,77,11,67,31,58,70,58,28,87,7,28,6,98,4,28,8,76,47,3,12,27,72,86,76,53,13,26,27,35,61,94,54,31,73,91,12,9,69,55,41,39,3,75,65,49,33,46,9,62,16,25,76,93,24,46,11,3,30,73,36,25,64,57,1,38,14,12,10,18,42,16,6,44,18,39,44,11,30,20,6,78,21,73,95,9,82,16,5,82,97,23
75,14,19,11,36,81,89,17,87,87,20,5,50,93,96,74,63,58,38,54,4,41,16,44,54,22,19,14,59,50,32,18,5,11,84,79,36,42,63,64,5,97,98,7,11,3,11,63,93,20,4,41,69,90,95,22,16,24,20,44,68,35,66,30,91,55,9,75,93,40,1,78,33,53,67,5,76,95,36,29,29,40,51,73,44,47,5,60,96,44,8,75,53,16,52,46,42,58,30,62
93,15,27,10,43,4,6,52,65,90,73,12,3,73,73,21,68,70,76,8,56,93,17,43,82,54,21,33,47,99,48,73,99,68,39,98,42,2,83,16,25,42,81,78,36,88,49,3,56,83,43,96,55,42,34,19,81,83,73,85,48,81,90,89,16,59,85,54,58,8,44,73,53,66,84,65,50,17,52,41,68,65,30,41,2,30,84,47,78,49,12,33,79,9,89,44,36,5,32,66
48,78,80,67,16,77,53,82,49,12,34,78,88,45,91,60,67,7,68,25,63,29,19,23,21,38,17,51,71,12,82,13,53,2,21,53,90,40,40,75,19,58,70,53,16,80,42,72,92,79,72,89,88,3,26,63,92,23,65,21,47,88,56,20,59,91,48,23,11,22,79,96,83,35,75,52,24,62,93,90,8,15,20,33,78,59,90,61,31,73,21,21,58,87,43,71,75,73,82,15
