66,40,37,33,99,76,39,77,43,12,20,83,46,65,51,55,40,49,53,94,46,97,41,56,24,2,63,36,54,79
49,52,17,82,53,54,32,7,11,32,92,41,60,74,88,95,85,63,11,88,43,57,3,40,1,90,86,3,44,86
96,93,67,39,56,11,22,81,25,87,12,9,47,24,55,8,96,62,22,58,47,96,13,84,33,42,66,77,61,65
64,8,75,37,14,87,82,15,46,19,11,82,46,93,18,83,80,26,92,95,84,85,23,10,8,19,99,38,78,80
90,63,67,71,32,10,8,16,70,30,23,72,19,63,73,8,5,2,31,40,1,24,84,45,70,75,38,81,53,40
81,87,94,48,2,22,79,28,64,91,78,67,33,43,83,19,55,44,87,5,91,72,70,70,16,48,62,78,50,53
93,36,35,87,31,50,49,19,72,43,58,10,88,34,40,11,81,30,17,20,94,40,73,32,91,74,2,89,58,6
27,60,58,48,51,21,38,98,89,58,89,85,66,50,97,25,72,67,56,94,71,73,92,8,60,36,69,84,58,39
60,32,8,50,58,24,90,7,1,7,30,75,43,18,9,25,50,70,78,39,11,50,54,21,58,23,9,62,58,12
25,23,98,86,57,61,19,72,2,26,65,42,44,42,23,85,57,34,65,40,56,30,14,79,51,18,70,64,16,7
65,24,41,61,87,40,40,27,74,63,5,63,61,87,41,19,13,62,57,24,88,67,32,31,66,74,62,35,75,35
53,14,78,71,14,10,93,23,15,95,78,64,4,12,93,69,27,21,94,25,78,33,77,55,59,95,43,72,59,98
55,64,59,26,61,52,94,79,39,80,4,35,50,63,60,54,37,36,82,45,73,86,81,45,86,42,68,72,27,56
4,84,8,23,6,86,63,88,12,62,51,66,84,48,10,8,44,31,68,18,26,49,56,50,94,75,16,90,29,92
87,87,86,16,42,6,29,86,43,61,53,15,54,55,18,6,88,17,5,86,19,18,36,48,42,78,95,39,94,34
33,8,62,27,72,94,37,62,29,90,6,77,92,24,36,26,98,86,19,99,6,8,26,48,86,91,69,90,15,46
68,84,58,40,90,90,20,81,21,39,71,14,28,42,65,75,11,29,94,11,73,7,23,30,59,18,92,16,39,40
75,34,1,69,64,91,80,88,16,40,95,45,94,71,59,55,16,85,12,7,30,35,99,34,69,63,9,57,15,73
76,44,36,19,53,94,27,34,72,14,34,45,65,13,37,67,54,40,37,97,70,34,76,99,84,44,20,35,27,27
84,59,21,6,64,14,38,99,71,34,86,5,28,30,67,79,34,21,77,25,88,69,87,27,70,70,31,95,19,2
64,35,63,6,3,55,30,18,23,91,79,27,31,51,98,42,85,82,23,9,88,25,12,14,67,97,38,73,25,4
50,5,22,5,27,12,96,91,37,95,53,44,44,83,4,36,59,57,50,68,40,78,7,59,49,48,21,56,4,35
59,89,3,88,61,56,26,10,96,3,84,19,35,95,17,70,41,50,4,29,65,73,9,35,81,17,77,56,29,46
75,84,12,93,3,36,72,85,91,94,95,45,41,65,89,73,39,17,79,17,50,57,12,33,38,62,55,90,32,46
66,36,22,52,60,74,1,37,4,10,90,46,26,22,31,83,88,73,3,42,17,82,25,15,49,97,73,4,25,2
72,87,73,35,32,99,82,98,97,45,12,73,56,71,13,50,44,66,73,4,20,1,11,12,63,27,24,9,66,42
16,47,67,70,31,77,18,44,44,9,61,34,65,36,44,43,89,32,52,90,75,14,75,54,92,87,29,24,89,83
39,13,39,6,99,84,52,92,91,85,41,54,1,87,6,69,84,6,54,98,68,53,83,89,47,85,13,24,50,85
64,99,30,71,34,99,97,5,24,77,4,8,56,90,24,68,75,97,62,75,6,12,61,54,45,23,11,89,85,32
36,10,94,60,32,69,95,27,62,17,93,60,60,90,84,51,12,31,12,4,97,98,84,26,3,90,66,54,7,65
