17,81,61,21,12,78,10,1,5,73,29,30,35,7,64,37,80,43,94,29,2,41,31,92,11,51,22,47,3,90,70,23,42,45,74,74,46,96,50,57
90,3,11,3,59,63,65,44,38,69,94,74,43,94,79,92,11,53,58,44,95,51,15,96,92,73,39,23,28,1,17,78,53,66,23,9,74,50,18,58
87,59,59,63,34,99,24,17,2,87,77,33,82,72,98,39,4,67,34,68,77,1,1,10,13,59,85,94,40,94,20,40,55,93,2,91,22,23,45,2
22,49,62,56,57,36,37,17,57,47,32,9,48,73,64,30,61,37,95,26,70,42,74,10,70,34,72,50,35,73,19,71,42,61,85,98,40,17,3,99
44,62,98,56,7,27,45,27,56,78,53,84,55,94,13,66,50,9,63,10,10,75,84,93,55,57,63,63,83,73,50,54,1,69,32,63,7,9,22,26
70,14,61,18,32,2,22,39,92,90,26,86,61,13,2,31,54,96,40,3,30,65,58,31,85,33,77,67,68,5,91,72,51,34,9,13,89,99,34,67
93,50,57,87,53,25,30,27,6,39,91,98,9,14,8,43,50,22,92,42,46,17,99,6,69,50,88,66,24,5,93,98,55,80,48,42,23,12,81,62
66,17,59,85,32,71,54,17,40,39,86,38,97,2,76,68,27,51,55,66,68,73,27,55,15,46,57,85,24,47,43,38,85,3,80,94,31,69,31,42
78,86,33,71,28,25,34,76,80,25,76,83,8,24,41,90,21,46,43,7,22,99,40,82,97,24,22,9,15,98,52,70,91,66,12,30,68,59,90,90
39,55,81,97,32,42,77,78,8,95,85,33,77,40,54,7,53,70,28,36,42,48,44,75,1,92,85,13,41,22,22,1,2,5,19,63,69,4,74,8
40,4,58,12,20,98,28,10,70,51,72,76,93,92,49,78,67,49,77,83,61,68,16,68,18,80,89,15,12,27,26,13,70,17,56,91,69,84,6,91
17,76,64,92,22,69,93,59,66,92,42,18,71,19,94,59,12,56,59,50,27,25,23,65,66,21,30,25,29,6,71,28,73,66,47,95,97,72,76,39
23,35,84,92,75,89,67,57,42,52,14,40,55,33,85,85,69,95,72,4,76,24,50,78,83,43,82,55,7,33,18,36,90,65,82,58,38,77,49,90
70,99,17,72,64,17,44,89,64,33,14,10,23,27,17,85,71,1,57,19,47,33,90,8,37,76,8,94,25,57,81,70,70,88,23,43,86,64,31,15
43,40,66,61,2,76,82,77,94,7,40,64,87,63,54,1,43,36,6,60,4,7,60,19,53,19,51,21,43,99,61,68,70,16,84,58,90,29,57,38
86,63,3,47,37,26,94,80,71,4,8,46,50,85,91,58,74,22,21,72,82,66,46,56,66,42,70,13,14,98,89,40,80,66,29,85,34,91,20,33
93,89,62,45,16,73,12,57,27,43,62,9,93,68,47,29,67,98,97,29,14,43,80,9,12,10,87,34,83,74,35,68,52,61,85,7,33,76,74,27
46,66,28,67,79,61,5,14,58,82,12,63,87,49,69,52,1,50,62,49,54,32,42,38,65,85,86,68,32,26,16,79,55,80,41,86,92,65,9,39
29,43,38,8,50,8,32,40,95,74,48,6,69,65,14,70,54,18,8,52,13,16,99,55,18,30,53,38,18,55,4,45,45,3,68,2,95,41,41,26
85,41,3,9,55,78,99,61,6,70,1,15,88,58,22,14,32,85,89,38,47,30,32,68,30,76,1,65,5,22,91,58,86,13,84,22,85,29,31,58
97,5,14,38,76,85,73,99,30,17,91,15,77,90,69,21,90,1,11,38,44,43,76,91,17,89,98,76,52,54,66,20,66,88,91,38,70,36,97,89
13,2,41,84,28,13,46,18,60,11,87,2,8,41,80,31,67,66,86,36,31,85,69,59,57,95,65,25,76,25,40,31,20,41,94,32,91,25,67,22
