51,27,57,45,86,6,37,94,38,3,45,10,49,19,89,70,70,50,70,91,93,82,25,7,99,11,25,12,14,55,21,40,32,81,22,3,22,6,28,36,34,25,41,53,45,73,85,15,80,74
54,86,26,31,18,52,79,3,62,92,34,40,27,20,25,65,52,67,69,50,52,8,79,37,16,86,69,85,76,27,43,33,47,87,74,91,73,16,57,23,35,42,26,29,7,62,58,62,43,69
17,70,61,69,19,89,33,14,19,45,16,54,37,96,76,28,6,69,33,90,10,27,63,78,39,48,30,34,6,54,21,78,73,8,61,38,8,65,56,40,30,86,51,70,19,37,71,52,83,25
34,61,89,11,41,40,23,32,98,35,42,34,75,25,75,65,22,27,83,41,13,49,3,4,5,6,16,55,94,1,3,91,54,90,48,36,30,49,35,20,92,81,98,58,84,76,8,50,17,14
31,35,28,97,67,19,16,89,34,77,92,95,50,8,28,88,72,1,48,48,10,16,32,53,46,12,70,71,81,97,16,61,19,96,72,68,96,47,81,40,78,57,93,82,37,17,30,8,28,33
78,54,47,7,64,92,35,57,47,22,46,12,27,98,92,84,67,3,29,86,74,7,66,62,60,40,7,48,8,50,82,19,76,21,5,34,44,75,95,51,75,68,68,6,37,37,14,48,82,83
82,52,5,68,71,46,45,72,11,79,61,24,30,91,8,3,56,26,42,86,46,27,45,87,61,57,44,4,95,70,54,66,10,98,49,9,8,95,38,65,77,84,39,42,70,82,22,17,4,73
35,51,70,98,7,63,48,20,11,15,93,47,49,60,55,73,84,52,86,27,1,10,40,6,24,7,33,98,39,31,11,6,11,29,55,86,62,55,74,89,98,18,36,11,46,81,17,6,29,8
51,79,95,16,25,93,46,48,51,96,16,96,88,13,29,75,10,3,10,95,3,7,8,95,63,6,65,17,2,17,53,3,48,39,56,48,24,38,16,38,47,36,67,43,48,69,35,67,87,83
64,26,77,10,19,10,66,25,59,78,32,90,60,49,55,64,11,60,99,76,47,34,7,47,7,15,75,46,95,77,28,97,7,7,21,73,49,50,55,43,93,80,69,36,69,28,77,24,90,60
28,40,48,6,65,76,42,77,92,9,21,13,17,21,64,50,92,96,70,59,65,19,13,72,15,34,62,31,36,39,10,59,72,33,5,60,87,27,15,45,97,91,83,75,67,53,86,68,3,13
27,63,31,37,65,34,59,97,1,50,4,27,6,73,5,69,81,87,54,76,7,6,3,17,27,28,4,25,32,87,86,60,26,89,35,67,63,7,68,71,27,86,7,8,18,5,17,4,77,96
63,40,13,75,83,20,74,70,11,27,81,5,41,29,30,40,67,94,29,10,92,99,12,10,46,64,26,57,84,15,37,90,37,74,94,59,61,29,65,79,9,92,81,55,78,27,32,87,46,23
84,59,28,14,83,51,35,12,13,56,33,95,62,93,49,42,52,69,53,32,76,76,61,36,8,72,83,99,82,60,59,73,98,4,77,60,58,24,15,38,31,5,76,83,41,13,63,14,12,23
6,34,31,81,24,61,66,53,24,10,5,4,81,13,98,59,1,49,81,45,25,3,66,26,27,85,9,50,5,64,3,99,53,64,91,28,53,82,7,74,94,35,94,37,49,24,36,20,36,57
10,62,5,26,89,20,21,16,85,15,86,21,43,28,83,69,31,21,59,2,57,36,29,97,59,71,3,78,88,10,65,17,26,1,49,34,66,55,24,7,70,57,19,51,79,58,22,67,95,3
2,56,96,50,53,86,75,40,74,88,36,43,87,83,61,94,74,71,58,85,39,18,27,93,14,56,88,23,17,47,92,73,30,6,47,75,84,43,16,71,44,48,26,93,63,95,11,45,26,7
64,28,68,7,98,64,28,31,58,71,98,87,79,29,85,67,71,63,4,97,58,1,17,23,72,74,6,70,74,2,5,97,8,77,5,67,89,82,54,21,43,97,51,60,71,90,16,33,59,94
90,13,93,22,96,66,72,60,95,82,25,5,17,42,18,85,3,93,6,12,95,54,56,83,62,60,24,71,25,19,41,12,32,65,27,14,29,50,95,19,60,14,26,36,33,77,29,42,6,33
31,22,98,88,40,48,35,75,33,78,15,31,63,2,81,20,96,41,38,31,43,42,95,42,75,83,5,47,9,17,74,92,8,70,56,64,8,62,31,77,83,5,26,46,65,90,18,18,45,22
7,58,85,33,74,2,42,98,40,54,66,83,84,7,98,76,80,30,61,73,33,21,66,39,12,83,87,18,64,25,62,19,74,87,63,3,46,53,35,62,93,63,73,46,33,8,88,27,68,14
33,61,61,24,1,77,2,91,57,5,33,9,39,14,36,41,10,40,75,87,51,27,95,98,99,40,11,49,93,76,17,24,7,28,16,14,98,98,13,32,38,56,89,92,21,57,56,37,70,70
21,7,27,50,62,75,88,25,88,36,62,75,88,80,37,71,17,50,63,28,26,48,19,52,24,83,62,68,15,67,70,24,88,63,64,35,52,65,33,63,14,48,94,25,28,11,88,56,57,77
21,75,87,60,96,5,37,97,99,64,59,78,9,12,22,83,51,97,18,78,65,32,76,58,6,39,9,88,2,43,14,73,15,49,19,63,6,5,37,89,7,45,97,2,97,65,4,84,12,97
25,47,27,71,12,84,20,76,64,97,25,46,84,68,83,8,74,84,31,56,64,41,47,82,42,94,73,75,1,80,93,99,85,96,27,31,98,92,60,62,76,40,92,16,21,77,87,11,9,7
97,36,3,54,37,67,27,27,44,37,85,19,45,40,63,30,92,88,70,63,20,73,41,30,50,46,57,83,95,87,37,73,78,57,59,53,74,62,34,72,1,71,5,68,79,87,19,27,85,42
94,38,85,77,75,84,8,60,98,11,48,61,38,75,70,15,11,27,86,63,73,88,66,20,89,76,17,18,16,66,47,85,11,61,96,3,9,58,70,27,38,80,33,71,88,82,25,89,84,25
4,13,92,19,90,13,24,3,32,68,77,34,92,87,84,84,79,36,28,27,21,59,43,55,95,38,28,91,96,29,8,72,53,35,43,88,49,5,76,71,74,25,50,89,84,38,42,59,86,2
14,40,78,86,53,1,89,51,85,88,6,51,88,97,70,86,34,46,62,67,43,83,51,56,9,15,8,62,34,38,49,70,12,21,15,69,40,65,76,99,2,27,7,82,79,7,99,80,27,94
42,42,31,20,92,48,65,35,49,25,50,17,53,96,82,73,52,80,60,84,99,72,94,39,13,43,58,93,39,69,95,75,37,96,72,40,82,90,78,40,85,86,89,5,70,13,71,19,82,40
4,15,88,19,45,13,75,49,28,49,20,91,16,32,67,8,8,85,26,62,99,84,45,60,68,62,56,20,53,86,8,9,40,86,19,43,38,47,34,2,64,4,4,38,24,37,1,32,10,87
22,97,58,16,95,88,90,85,13,33,96,20,14,65,48,92,92,70,60,5,82,41,39,82,82,24,99,16,45,31,67,12,69,86,43,81,79,55,3,56,34,7,95,97,92,84,67,6,12,49
64,11,5,78,37,69,49,84,77,39,55,32,17,24,32,7,8,3,87,6,61,71,71,44,42,60,50,80,67,67,78,12,19,48,10,80,12,4,88,23,90,33,89,98,27,76,54,75,54,12
5,54,91,51,16,60,2,50,67,45,64,37,97,4,73,20,96,52,35,72,43,20,94,29,18,96,24,39,1,85,69,20,27,22,26,90,99,5,63,31,73,2,3,7,89,27,65,13,75,73
84,52,92,79,97,99,72,82,79,39,55,29,7,91,47,58,41,96,52,60,80,43,4,90,32,41,70,49,54,11,20,75,45,69,61,34,73,76,66,6,7,88,86,21,57,53,2,86,2,35
36,79,27,84,93,80,46,80,60,85,67,95,83,97,13,18,80,80,61,47,89,24,20,16,60,12,74,63,34,18,12,39,7,22,11,37,25,46,9,45,85,29,32,10,70,61,90,15,67,69
16,63,85,92,10,21,99,64,46,42,4,67,96,44,85,47,4,84,37,29,54,19,91,5,93,58,93,79,78,94,99,76,49,83,1,87,55,17,12,89,49,19,27,99,1,49,17,83,46,31
41,49,21,68,44,43,75,63,38,87,68,92,6,25,49,97,46,53,87,44,96,51,19,95,93,74,55,71,2,86,25,69,39,62,17,10,90,19,75,27,37,85,35,65,96,22,27,37,91,74
95,89,25,68,88,83,84,25,59,28,53,71,13,28,20,75,83,43,12,38,33,26,2,26,6,2,65,40,30,96,52,12,78,29,68,5,37,27,38,49,29,99,22,96,46,34,33,74,64,63
66,28,26,82,42,99,44,32,7,23,56,45,8,70,39,28,22,43,11,67,88,70,75,36,31,20,33,95,50,54,37,31,68,60,45,44,10,87,45,6,42,70,96,93,95,56,54,14,68,46
68,10,70,28,22,43,87,8,82,65,95,53,39,21,58,99,66,32,59,69,35,73,18,28,22,5,29,69,98,76,17,34,34,66,52,40,28,47,20,75,97,24,76,24,98,44,46,88,24,60
76,86,88,43,1,79,32,82,60,66,50,55,92,89,29,60,53,60,46,20,83,90,7,62,5,5,57,14,8,29,13,49,85,34,8,15,78,47,68,83,15,93,82,16,39,15,90,94,81,88
22,28,50,36,70,51,9,5,22,69,90,32,26,89,84,69,1,55,98,63,11,38,81,41,68,21,51,20,88,65,51,10,26,64,96,35,33,6,47,81,3,79,62,36,64,35,70,50,29,73
97,24,86,56,20,70,49,45,50,72,57,43,45,81,41,17,43,22,67,96,3,11,58,54,96,44,93,51,54,61,1,2,18,33,64,11,63,91,51,99,68,3,59,14,41,68,78,59,7,56
8,52,28,4,61,76,23,53,5,51,13,2,56,20,44,20,95,57,67,39,47,13,34,90,98,77,95,33,71,70,88,9,91,35,98,88,35,59,92,35,55,91,2,66,96,86,45,16,34,39
86,43,38,54,89,23,69,91,54,59,4,90,17,13,47,33,43,31,31,14,54,65,74,71,20,73,87,82,67,18,59,58,69,89,90,31,19,51,33,92,77,6,40,51,18,91,56,56,53,20
18,39,91,36,85,15,49,13,84,66,19,57,81,69,56,31,12,88,47,45,32,84,2,68,48,26,50,79,60,85,21,98,36,48,51,31,67,30,7,98,80,38,89,82,89,91,76,5,42,78
33,61,13,74,8,19,61,50,76,69,48,52,30,94,11,24,43,43,19,90,54,88,39,89,40,64,33,32,93,92,47,42,17,49,74,20,7,36,95,51,69,66,44,4,24,56,5,85,33,59
36,63,46,29,53,17,99,65,84,7,29,83,69,11,81,61,64,54,46,76,62,73,61,77,89,58,80,5,93,31,17,26,52,98,5,45,65,41,54,4,35,70,8,84,88,73,41,40,39,88
17,76,71,20,58,84,35,59,46,32,10,18,89,77,43,2,47,85,94,23,8,90,19,15,94,90,83,67,58,77,84,84,59,79,88,94,87,57,67,36,98,89,25,21,57,2,64,82,72,24
