6,64,78,35,77,58,6,20,94,5,12,14,83,27,50,76,16,95,56,46,2,35,63,47,34,49,80,19,41,1,79,35,58,9,27,32,63,36,60,5,92,15,94,83,29,6,62,34,10,84,81,77,21,14,30,81,47,7,58,37,34,12,94,60,39,58,31,70,34,92
75,5,46,61,19,36,47,41,45,4,41,42,87,70,39,56,38,89,10,35,56,67,14,68,41,42,93,52,62,8,20,15,78,28,99,38,91,57,30,56,28,71,30,27,91,41,1,27,22,86,39,38,36,95,16,97,3,21,70,49,12,80,95,61,92,54,64,94,6,70
65,78,98,48,15,98,16,77,53,26,89,94,45,98,21,7,65,5,9,89,69,77,80,99,24,27,52,61,51,24,78,3,16,99,63,99,7,86,15,28,47,54,8,39,56,62,30,99,98,82,34,98,85,49,9,48,61,12,88,64,82,6,90,93,48,53,25,96,20,25
98,89,40,74,44,58,11,18,91,90,96,39,38,24,63,4,53,40,8,7,94,22,84,77,11,33,34,40,26,87,67,2,99,87,66,70,68,51,65,25,62,64,56,14,18,15,57,58,96,63,24,75,18,39,94,86,83,39,2,57,57,95,95,28,52,95,30,34,6,43
48,88,59,64,3,77,94,11,8,28,12,78,19,33,25,79,27,43,95,39,36,11,85,1,97,34,14,18,73,73,18,89,8,54,54,70,77,60,69,94,38,11,26,83,67,41,86,99,65,28,87,92,63,75,44,89,84,69,78,45,20,14,18,59,67,22,70,17,1,21
12,81,13,92,97,87,16,81,16,29,2,24,89,1,6,57,84,92,4,73,61,53,33,89,88,11,44,4,15,28,47,80,79,60,91,68,41,29,85,49,1,8,84,21,44,74,50,72,78,52,54,68,90,35,75,10,7,21,99,26,89,44,13,84,50,37,19,65,19,21
70,22,2,67,74,8,2,8,35,66,69,45,75,91,94,35,18,28,27,16,54,52,21,55,92,54,94,15,88,32,74,25,63,79,18,37,74,76,19,23,26,28,31,31,24,43,12,9,57,21,8,21,77,95,81,72,25,29,74,37,55,40,73,96,24,60,91,38,78,65
21,13,77,84,77,34,74,10,48,75,13,99,61,11,96,15,37,3,60,36,89,98,88,70,18,63,93,21,72,32,78,19,49,30,63,93,72,43,74,61,23,50,31,63,94,53,55,43,85,22,11,12,40,4,8,20,37,65,15,80,62,9,87,13,28,69,28,50,91,40
9,72,8,50,58,53,55,12,66,37,69,25,84,62,81,12,14,84,49,8,35,84,14,26,66,28,95,72,47,64,57,26,98,26,67,95,43,5,54,34,81,35,90,51,26,67,31,31,52,20,70,84,53,68,33,72,48,63,89,70,81,52,25,70,27,59,52,18,49,69
36,42,36,30,9,37,4,25,67,53,59,26,84,84,86,50,93,18,64,34,11,17,54,49,16,70,83,61,5,51,17,3,27,90,21,61,91,10,93,33,96,21,42,76,79,36,86,82,81,21,86,85,65,83,87,76,49,16,22,74,35,40,42,63,81,26,39,15,62,15
89,7,26,44,96,63,65,71,91,73,95,11,88,65,42,34,31,86,50,62,87,10,17,52,38,37,27,48,8,25,91,23,34,9,26,93,1,5,5,58,14,50,18,54,92,61,38,96,22,66,82,21,78,52,46,43,28,89,1,44,6,98,81,89,57,43,17,77,46,76
39,5,43,61,22,63,30,93,48,77,27,22,64,99,20,29,17,26,28,76,58,61,77,3,55,69,18,51,4,67,7,99,50,42,97,15,2,53,88,74,98,61,67,99,90,70,34,38,15,58,54,58,88,97,58,73,82,60,68,87,64,19,65,58,31,89,39,65,26,12
31,43,81,59,22,91,23,62,81,6,10,64,37,12,59,96,89,60,15,91,35,13,63,32,85,65,77,1,88,36,50,67,83,86,26,49,96,8,91,31,42,50,11,98,75,13,20,99,58,96,35,85,6,20,63,99,66,76,40,23,19,62,81,93,92,75,8,96,63,99
98,5,60,99,2,42,63,71,3,17,18,28,18,6,53,38,62,37,44,95,40,89,76,90,62,32,75,35,99,21,63,63,13,60,58,38,83,97,24,27,87,45,86,86,48,86,46,29,7,99,74,42,75,11,64,82,84,74,46,24,63,18,50,52,21,38,33,25,11,38
87,80,66,59,72,50,13,56,43,64,32,83,53,51,16,51,39,67,86,28,85,76,24,44,51,18,44,82,49,6,78,71,12,97,23,40,57,91,70,97,4,57,68,90,76,29,25,44,31,58,22,13,17,22,56,39,89,4,23,46,65,8,73,39,56,10,52,5,55,46
53,45,46,64,29,51,24,39,74,97,28,14,20,12,93,54,11,90,94,98,47,16,3,87,96,7,44,26,50,37,32,37,46,45,2,16,89,41,66,88,80,89,18,15,20,24,78,46,44,45,8,47,53,9,20,72,83,45,50,93,40,72,66,21,87,14,62,95,11,86
71,38,33,56,6,57,12,70,77,25,37,71,11,64,17,43,97,91,63,47,33,94,1,75,3,4,47,64,52,82,69,16,55,30,63,25,39,56,26,48,71,44,49,76,89,64,69,42,64,40,26,61,68,78,35,11,41,21,32,7,25,77,26,2,91,64,24,56,27,57
48,20,14,88,45,94,6,72,96,72,3,23,80,10,53,44,49,75,4,2,32,63,92,78,70,16,57,68,1,82,26,97,75,43,17,3,99,3,81,54,20,63,29,39,11,70,42,84,26,81,6,61,13,19,68,91,63,93,43,10,33,9,9,70,13,92,50,92,62,34
80,2,81,38,2,49,4,97,22,1,41,36,76,64,38,59,62,46,71,12,96,80,51,94,2,58,48,26,9,74,93,7,44,9,51,32,46,33,54,2,98,90,81,37,42,3,82,40,51,39,93,44,68,44,25,21,37,55,36,10,80,79,63,53,82,81,33,7,32,13
67,38,78,88,88,18,24,9,38,62,87,20,10,51,69,82,67,42,50,47,58,68,25,98,8,99,2,7,11,9,27,13,59,3,32,24,92,69,18,6,63,40,8,22,92,6,88,54,83,60,53,38,65,30,74,42,82,37,70,13,9,52,43,86,70,10,83,7,93,29
40,61,86,53,5,89,30,55,77,2,53,12,31,63,41,83,19,4,98,36,93,17,58,28,56,6,80,81,21,46,26,73,91,82,59,3,58,41,28,41,91,88,56,80,83,68,45,36,64,3,63,11,71,38,26,86,81,33,62,71,13,47,21,77,44,37,10,30,29,82
72,81,65,40,57,1,43,57,1,76,25,46,91,52,29,65,12,86,66,92,43,24,62,60,61,96,49,61,18,51,4,48,53,6,90,94,8,58,86,74,47,35,56,22,41,44,25,36,6,85,92,52,26,10,44,89,8,37,23,54,12,23,91,86,78,38,74,58,70,66
52,39,94,66,80,11,73,18,18,82,17,79,87,97,84,82,66,30,95,58,13,7,1,53,18,36,70,16,57,7,11,97,49,11,60,87,42,11,41,91,69,20,58,40,61,82,75,92,87,83,72,88,21,87,58,23,37,14,17,99,5,14,66,8,56,90,15,56,8,37
